y X_1 X_2 X_3 X_4 X_5 X_6 X_7 X_8
1 1 0.244 0.053 -0.943 1.433 1.386 0.424 -0.372
1 1 -1.428 -2.663 0.015 -0.505 1.688 1.203 -0.473
0 1 1.05 1.397 0.367 -1.222 1.126 0.093 1.044
1 1 -0.63 -0.663 0.278 -0.465 -0.014 1.656 -0.184
1 1 0.129 0.282 -0.356 0.949 0.178 0.223 -2.011
0 1 1.432 1.721 -0.855 0.483 0.834 1.156 0.801
1 1 -0.568 0.171 -1.061 1.347 1.553 1.608 -0.103
0 1 0.769 0.614 0 -0.952 -0.222 -1.099 -1.26
1 1 -1.57 -2.03 0.782 1.24 -1.623 -0.419 -0.14
0 1 1.275 1.041 -0.563 -1.154 0.384 -0.675 -1.165
1 1 -0.455 -0.66 -0.738 -0.689 0.213 0.389 1.033
0 1 0.117 0.274 0.425 -1.325 -0.099 -0.397 0.449
1 1 -0.875 -0.874 0.204 0.238 -0.532 -0.981 1.786
0 1 0.269 0.205 -0.158 -0.856 -1.025 -2.759 -0.793
1 1 -1.653 -0.793 0.288 -0.392 1.483 -0.243 -1.132
0 1 1.786 1.593 0.19 1.812 -0.181 1.134 -0.398
1 1 0.291 -0.901 -1.676 0.182 -0.302 -0.737 -0.903
0 1 -0.588 1.913 0.767 1.144 -1.099 0.305 0.277
